id,name,관련학과,관련자격
388,여행안내원,관광경영학과관광경영과관광통역과문화관광과,"관광통역안내사,국내여행안내사,국외여행인솔자"
10064,범죄과학수사관,IT융합학과법학과컴퓨터공학과경찰행정학과경찰행정과,
269,정치학연구원,정치외교학과,
1157,원양어부,,"어업기술사,어로산업기사,어업생산관리기사,잠수기능사,잠수산업기사"
142,트럭운전기사,,자동차운전면허
968,시인,국어국문학과문예창작과문예창작학과,
15,수의사,동물자원학과생물학과수의학과,수의사
390,신호원 및 수송원,철도운전과철도전기제어과,"철도신호기사,철도신호기술사,철도신호산업기사,철도전기신호기능사"
10065,야외활동지도사,레저스포츠과레저스포츠학과체육학과,
270,성우,방송연예과연극영화과연극영화학과,
1158,자동조립라인 및 산업용로봇조작원,기계공학과컴퓨터응용기계과기계과기계설계공학과,
143,판금원,기계과,판금제관기능장
973,소설가,국어국문학과문예창작과문예창작학과,
17,수학연구원,수학과통계학과,
391,운동경기심판,사회체육학과사회체육과체육학과,
10066,스포츠기록분석연구원,스포츠지도학과통계학과컴퓨터공학과,
271,아나운서,국어국문학과방송영상과사회학과신문방송학과언론홍보학과연극영화과연극영화학과,
1255,수질환경연구원,환경공학과환경과학과환경보건학과,"수질관리기술사,수질환경기사,수질환경산업기사"
144,펄프 및 종이 생산직,,임산가공기사
975,사진사,사진영상학과,사진기능사
19,의료장비기사,의료정보공학과메카트로닉스공학과전기전자공학과의료보장구과의료정보시스템과전기공학과,
392,스포츠트레이너,사회체육학과사회체육과물리치료과체육학과물리치료학과체육교육과,"스포츠지도사,건강운동관리사"
10067,비디오게임디자이너,게임공학과게임콘텐츠과디지털디자인과멀티미디어학과애니메이션과,
272,언어학연구원,언어과학과,
1256,커플매니저,이벤트연출과미용과패션디자인과,
145,재활용 처리 및 소각로 조작원,보건환경과환경공업과환경시스템과환경화학과,"대기환경산업기사,대기환경기사,폐기물처리산업기사,폐기물처리기사,폐기물처리기술사,환경기능사"
976,사진기자,,사진기능사
20,심리학연구원,심리학과,
395,유치원교사,유아교육과유아교육학과,정교사
10068,게임감시관 및 조사관,스포츠마케팅학과관광경영학과경호학과,
273,역사학연구원,고고학과사학과,
1257,병원코디네이터,보건행정과비서행정학과보건관리학과보건행정학과비서행정과,
147,플라스틱제품제조원,기계과화학공업과화학과,
978,보일러공,,"에너지관리기능장,에너지관리기사,에너지관리산업기사,에너지관리기능사"
21,안경사,광학공학과안경광학과,안경사
396,음악치료사,음악학과실용음악학과심리학과,
10069,목소리코치,언어과학과언론홍보학과신문방송학과,
278,카피라이터,광고홍보학과국어국문학과문예창작과문예창작학과,
1259,마술사,레크리에이션과,
148,항공교통관제사,교통공학과정보통신공학과정보통신과컴퓨터공학과항공우주공학과,항공교통관제사
985,공업기계설치 및 정비원,,"기계정비기능사,기계가공조립기능사,기계조립산업기사,항공기관정비기능사"
23,약사 및 한약사,약학부한약학과,"약사,한약사"
397,응급구조사,응급구조학과응급구조과,응급구조사
10070,무인항공촬영감독,무인항공드론과무인항공학과미디어영상학과,
280,가수,성악과실용음악과실용음악학과음악과음악학과작곡과,
1276,파티플래너,이벤트연출과,
149,항공기정비원,기계공학과기계과전기공학과전기과전기제어공학과제어계측공학과제어계측과항공우주공학과항공정비과,"항공기체기술사,항공기관기술사,항공정비사"
988,인문사회계열교수,경제학과국어국문학과사학과사회학과심리학과영어영문학과철학과,
24,유전공학연구원,생명과학과유전공학과,바이오화학제품제조기사
398,임상심리사,심리학과,"정신건강임상심리사,임상심리사"
10071,동물랭글러,심리학과축산학과수의학과,
281,개그맨,방송연예과연극영화과연극영화학과,
1277,건축사,건축과건축공학과실내디자인과실내디자인학과,"건축사,건설기계기술사,건축구조기술사"
150,비행기조종사,항공우주공학과항공운항학과,"사업용조종사,운송용조종사,자가용조종사"
994,환경컨설턴트,환경공학과화학공학과환경과학과화학과,"대기환경기사,산업위생관리기사,소음진동기사,수질환경기사,자연생태복원산업기사,자연환경관리기술사,토양환경기술사,폐기물처리기사,폐기물처리기술사,폐기물처리산업기사,환경기능사"
25,전문의사,의예과,의사
400,운동감독,사회체육과사회체육학과체육학과,스포츠지도사
10072,웹툰작가,만화창작과애니메이션과만화애니메이션학과,
283,광고기획자,광고기획과광고홍보학과신문방송학과심리학과사회학과,
1278,행정부고위공무원,행정학과경영학과행정과법학과,
151,항공우주공학기술자,항공우주공학과,"항공기사,항공기체기술사,항공기관기술사"
995,에너지공학기술자,에너지자원공학과원자력공학과,"방사선관리기술사,방사선취급감독자,에너지관리기사,에너지관리산업기사,원자력기사,원자력발전기술사,핵연료물질취급감독자,핵연료물질취급자"
29,지리학연구원,지리학과,
401,작업치료사,작업치료과작업치료학과,작업치료사
10073,아쿠아리스트,수산학과해양생명과학과해양자원학과,"수산양식기사,수산질병관리사,수질환경기사"
284,간판제작원,광고디자인학과공예디자인학과광고디자인과산업디자인과시각디자인과공업디자인과,"옥외광고사,광고도장기능사"
1279,헤드헌터,경영학과국제학부사회학과정치외교학과,
153,화학제품제조원,화학공학과,"화약류제조산업기사,화약류제조기사,화공기사,화약류관리산업기사,화약류관리기사,화약류관리기술사"
997,토양환경기술자,환경보건학과환경공학과지질학과환경과학과,"자연생태복원산업기사,자연환경관리기술사,토양환경기술사"
30,지질학연구원,지질학과지구정보공학과,"응용지질기사,지질및지반기술사"
403,장례지도사,장례지도과,장례지도사
10074,범죄심리분석관(프로파일러),심리학과사회학과경찰행정학과,
285,광고디자이너,광고디자인과디지털디자인과시각디자인과시각디자인학과컴퓨터디자인학과,"시각디자인기사,시각디자인산업기사,컴퓨터그래픽스운용기능사"
1281,환경영향평가원,환경공학과환경과학과해양공학과화학공학과산림자원학과,"대기환경기사,소음진동기사,수질환경기사,토양환경기사,대기관리기술사,소음진동기술사,수질관리기술사,자연환경관리기술사"
155,바닥재시공원,건축공학과건축과토목과도시건설과,타일기능사
1004,환경설비기술자,환경공학과보건환경과환경과학과환경시스템과,"수질환경기사,수질환경산업기사,토양환경기술사,폐기물처리기사,폐기물처리기술사,폐기물처리산업기사"
31,천문학연구원,대기과학과우주과학과천문학과,
404,전화교환원,,
10075,다문화코디네이터,사회복지학과청소년지도학과교육학과,
286,국악인,국악학과,
1282,대체에너지개발연구원,에너지자원공학과환경공학과화학공학과전자공학과금속공학과재료공학과,
157,반도체공학기술자,반도체학과신소재공학과전기공학과전기전자공학과전자공학과,
1006,해양환경기사,해양자원학과해양공학과,"수질환경기사,수질환경산업기사,해양공학기사,해양자원개발기사,해양조사산업기사,해양환경기사"
32,측량사,건축공학과지구정보공학과측지정보과기계공학과도시공학과물리학과지구환경과학과통계학과천문학과수학과토목공학과지적과건축학과건축과지적학과지리학과,"측량기능사,측량및지형공간정보기사,측량및지형공간정보기술사,측량및지형공간정보산업기사,지적기술사,지적기사,지적산업기사"
405,주택관리사,,주택관리사보
10076,모바일앱개발자,컴퓨터공학과소프트웨어공학과게임공학과정보통신과정보통신공학과컴퓨터소프트웨어과,"전자계산기기능사,전자계산기제어산업기사,전자계산기기사,정보처리기능사,정보처리산업기사,정보처리기사,컴퓨터시스템응용기술사,마이크로소프트 인증 전문가 자격증(MCP),오라클 자격인증제도"
288,네일아티스트,미용과뷰티미용학과피부미용과,미용사(네일)
1431,음악강사,음악과음악학과음악교육과실용음악과기악과피아노학과,
159,"가구제조,수리원",,"가구제작기능사,목공예기능사"
1007,상수도기술자,환경공학과토목공학과환경보건학과환경과학과,"상하수도기술사,수질관리기술사,수질환경기사,수질환경산업기사"
33,치과기공사,치기공과,치과기공사
406,인문계중등학교교사,국어교육과윤리교육과미술교육과영어교육과체육교육과음악교육과사회교육과역사교육과일반사회교육과지리교육과한문교육과일어교육과독일어교육과불어교육과종교교육과,정교사
10077,SNS 마케터,신문방송학과경영학과마케팅경영과,
291,만화가,만화애니메이션학과,
1432,베타테스터,게임콘텐츠과컴퓨터소프트웨어과컴퓨터공학과컴퓨터과학과벤처창업학과,
162,식품공학기술자,생명과학과식품가공과식품공학과식품영양과식품영양학과식품조리과조리과학과,"영양사,위생사,식품산업기사,식품기사,식품기술사"
