637	법학	7
638	의사결정	7
639	보안	7
640	문서	7
641	정보통신	7
642	항공	7
643	노래	7
644	직업전문	7
645	종목	7
646	오염	7
647	글로벌	7
648	외국	7
649	교수	7
650	가격	7
651	협의	7
652	운반	7
653	경비	7
654	통제	7
655	커뮤니케이션	7
656	CAD	7
657	재무	7
658	전력	7
659	형성	7
660	안전관리	7
661	탐구	7
662	절차	7
663	동작	7
664	과제	7
665	수준	7
666	도로	7
667	소양	7
668	구축	7
669	시간	7
670	대처	7
671	센터	7
672	완성	7
673	보고서	7
674	조건	7
675	회화	7
676	사교	7
677	방식	7
678	소개	7
679	논리력	7
680	세부	7
681	요소	7
682	방사선	6
683	도서관	6
684	무인	6
685	레스토	6
686	작가	6
687	노인	6
688	웹사이트	6
689	작곡	6
690	인식	6
691	지구	6
692	미생물	6
693	화장품	6
694	학년	6
695	토목	6
696	귀금속	6
697	심리학	6
698	유아	6
699	임상	6
700	화학제품	6
701	섭외	6
702	질환	6
703	방지	6
704	녹음	6
705	레저	6
706	대응	6
707	세무	6
708	비용	6
709	윤리	6
710	제약	6
711	세포	6
712	관광산업	6
713	회계정보	6
714	분자	6
715	공예품	6
716	역학	6
717	환경오염	6
718	식생활	6
719	소리	6
720	조성	6
721	기계장치	6
722	참가	6
723	계약	6
724	시나리오	6
725	스토리	6
726	악보	6
727	구매	6
728	저장	6
729	의미	6
730	지도자	6
731	교육과정	6
732	시민사회단체	6
733	유전학	6
734	특정	6
735	문제점	6
736	언어능력	6
737	주문	6
738	양성	6
739	인문	6
740	농장	6
741	근무	6
742	공공	6
743	최신	6
744	합격	6
745	개설	6
746	설득	6
747	부분	6
748	관계	6
749	나라	6
750	문자	6
751	선호	6
752	단계	6
753	요청	6
754	움직임	6
755	체력	6
756	확대	6
757	관점	6
758	대사	6
759	숙련	6
760	실용	6
761	매장	6
762	현실	6
763	역할	6
764	선정	6
765	물품	6
766	인문학	6
767	교육기관	6
768	접근	6
769	육체	6
770	기상	5
771	채소	5
772	번역	5
773	원예	5
774	안무	5
775	소설	5
776	직원	5
777	가수	5
778	웹툰	5
779	SNS	5
780	메이크업	5
781	가축	5
782	창업	5
